Kabupaten;Kecamatan;Desa;Tanggal Pilkades;Status
Batang;Bandar;PucangGading;29/05/2022;Sudah
Batang;Bandar;Sidayu;29/05/2022;Sudah
Batang;Bandar;Candi;29/05/2022;Sudah
Batang;Banyuputih;Banaran;29/05/2022;Sudah
Batang;Batang;Cepokokuning;29/05/2022;Sudah
Batang;Batang;Kalipucang Kulon;29/05/2022;Sudah
Batang;Bawang;Jambangan;29/05/2022;Sudah
Batang;Bawang;Pranten;29/05/2022;Sudah
Batang;Bawang;Soka;29/05/2022;Sudah
Batang;Bawang;Wonosari;29/05/2022;Sudah
Batang;Blado;Gerlang;29/05/2022;Sudah
Batang;Blado;Kalitengah;29/05/2022;Sudah
Batang;Blado;Kambangan;29/05/2022;Sudah
Batang;Gringsing;Krengseng;29/05/2022;Sudah
Batang;Gringsing;Lebo;29/05/2022;Sudah
Batang;Limpung;Sempu;29/05/2022;Sudah
Batang;Limpung;Rowosari;29/05/2022;Sudah
Batang;Limpung;Tembok;29/05/2022;Sudah
Batang;Pecalungan;Siguci;29/05/2022;Sudah
Batang;Reban;Kumesu;29/05/2022;Sudah
Batang;Reban;Semampir;29/05/2022;Sudah
Batang;Subah;Gondang;29/05/2022;Sudah
Batang;Subah;Sengon;29/05/2022;Sudah
Batang;Tersono;Wanar;29/05/2022;Sudah
Batang;Tulis;Posong;29/05/2022;Sudah
Batang;Warungasem;Gapuro;29/05/2022;Sudah
Batang;Warungasem;Kalibeluk;29/05/2022;Sudah
Batang;Warungasem;Sidorejo;29/05/2022;Sudah
Batang;Warungasem;Warungasem;29/05/2022;Sudah
Batang;Wonotunggal;Gringgingsari;29/05/2022;Sudah
Batang;Wonotunggal;Sendang;29/05/2022;Sudah
Batang;Wonotunggal;Sigayam;29/05/2022;Sudah
Brebes;Banjarharjo;Parereja;18/05/2022;Sudah
Brebes;Bantarkawung;Bantarwaru;18/05/2022;Sudah
Brebes;Bantarkawung;Jipang;18/05/2022;Sudah
Brebes;Bantarkawung;Karangpari;18/05/2022;Sudah
Brebes;Bantarkawung;Pengarasan;18/05/2022;Sudah
Brebes;Bantarkawung;Telaga;18/05/2022;Sudah
Brebes;Bantarkawung;Terlaya;18/05/2022;Sudah
Brebes;Bantarkawung;Waru;18/05/2022;Sudah
Brebes;Brebes;Kalimati;18/05/2022;Sudah
Brebes;Brebes;Lembarawa;18/05/2022;Sudah
Brebes;Brebes;Tengki;18/05/2022;Sudah
Brebes;Brebes;Wangandalem;18/05/2022;Sudah
Brebes;Bulakamba;Bangsri;18/05/2022;Sudah
Brebes;Bulakamba;Cipelem;18/05/2022;Sudah
Brebes;Bulakamba;Luwungragi;18/05/2022;Sudah
Brebes;Bulakamba;Rancawuluh;18/05/2022;Sudah
Brebes;Bumiayu;Adisana;18/05/2022;Sudah
Brebes;Bumiayu;Kaliwadas;18/05/2022;Sudah
Brebes;Bumiayu;Penggarutan;18/05/2022;Sudah
Brebes;Jatibarang;Janegara;18/05/2022;Sudah
Brebes;Jatibarang;Kemiriamba;18/05/2022;Sudah
Brebes;Kersana;Kradenan;18/05/2022;Sudah
Brebes;Ketanggungan;Ciduwet;18/05/2022;Sudah
Brebes;Ketanggungan;Cikeusal Kidul;18/05/2022;Sudah
Brebes;Ketanggungan;Jemasih;18/05/2022;Sudah
Brebes;Larangan;Pamulihan;18/05/2022;Sudah
Brebes;Larangan;Rengaspendawa;18/05/2022;Sudah
Brebes;Larangan;Slatri;18/05/2022;Sudah
Brebes;Larangan;Wlahar;18/05/2022;Sudah
Brebes;Losari;Bojongsari;18/05/2022;Sudah
Brebes;Losari;Losari Lor;18/05/2022;Sudah
Brebes;Tanjung;Sarireja;18/05/2022;Sudah
Brebes;Paguyangan;Cilibur;18/05/2022;Sudah
Brebes;Salem;Bentarsari;18/05/2022;Sudah
Brebes;Sirampog;Buniwah;18/05/2022;Sudah
Brebes;Sirampog;Igirklanceng;18/05/2022;Sudah
Brebes;Sirampog;Mendala;18/05/2022;Sudah
Brebes;Tonjong;Linggapura;18/05/2022;Sudah
Brebes;Tonjong;Purwodadi;18/05/2022;Sudah
Brebes;Tonjong;Tanggeran;18/05/2022;Sudah
Brebes;Wanasari;Siasem;18/05/2022;Sudah
Brebes;Wanasari;Sidamulya;18/05/2022;Sudah
Brebes;Wanasari;Tanjungsari;18/05/2022;Sudah
Cilacap;Majenang;Jenang;;Sudah
Cilacap;Majenang;Mulyadadi;;Sudah
Cilacap;Majenang;Padangjaya;;Sudah
Cilacap;Majenang;Padangsari;;Sudah
Cilacap;Majenang;Mulyasari;;Sudah
Cilacap;Majenang;Sadabumi;;Sudah
Cilacap;Majenang;Sadahayu;;Sudah
Cilacap;Majenang;Pengadegan;;Sudah
Cilacap;Binangun;Pasuruhan;;Sudah
Cilacap;Kawunganten;Kubangkangkung;;Sudah
Cilacap;Jeruklegi;Tritih Lor;;Sudah
Cilacap;Maos;Panisihan;;Sudah
Cilacap;Dayeuhluhur;Dayeuhluhur;;Sudah
Cilacap;Dayeuhluhur;Matenggeng;;Sudah
Cilacap;Dayeuhluhur;Bingkeng;;Sudah
Cilacap;Dayeuhluhur;Kutaagung;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Cilacap;;;;Sudah
Demak;Bonang;Betahwalang;16/10/2022;Belum
Demak;Bonang;Bonangrejo;16/10/2022;Belum
Demak;Bonang;Gebang;16/10/2022;Belum
Demak;Bonang;Gebangarum;16/10/2022;Belum
Demak;Bonang;Jali;16/10/2022;Belum
Demak;Bonang;Jatirogo;16/10/2022;Belum
Demak;Bonang;Krajanbogo;16/10/2022;Belum
Demak;Bonang;Morodemak;16/10/2022;Belum
Demak;Bonang;Poncoharjo;16/10/2022;Belum
Demak;Bonang;Purworejo;16/10/2022;Belum
Demak;Bonang;Serangan;16/10/2022;Belum
Demak;Bonang;Sukodono;16/10/2022;Belum
Demak;Bonang;Weding;16/10/2022;Belum
Demak;Demak;Bango;16/10/2022;Belum
Demak;Demak;Bolo;16/10/2022;Belum
Demak;Demak;Cabean;16/10/2022;Belum
Demak;Demak;Donorojo;16/10/2022;Belum
Demak;Demak;Karangmlati;16/10/2022;Belum
Demak;Demak;Katonsari;16/10/2022;Belum
Demak;Demak;Kedondong;16/10/2022;Belum
Demak;Demak;Mulyorejo;16/10/2022;Belum
Demak;Demak;Raji;16/10/2022;Belum
Demak;Demak;Sedo;16/10/2022;Belum
Demak;Demak;Tempuran;16/10/2022;Belum
Demak;Demak;Turirejo;16/10/2022;Belum
Demak;Dempet;Balerejo;16/10/2022;Belum
Demak;Dempet;Baleromo;16/10/2022;Belum
Demak;Dempet;Brakas;16/10/2022;Belum
Demak;Dempet;Gempoldenok;16/10/2022;Belum
Demak;Dempet;Karangrejo;16/10/2022;Belum
