,nama_kab,jml_desa,jml_desa_miskin,pct_desa_miskin
29,SRAGEN,208,204.0,0.9807692307692307
31,TEGAL,287,276.0,0.9616724738675958
25,PURBALINGGA,239,227.0,0.9497907949790795
1,BANYUMAS,331,309.0,0.9335347432024169
24,PEMALANG,222,201.0,0.9054054054054054
9,JEPARA,195,174.0,0.8923076923076924
7,DEMAK,249,218.0,0.8755020080321285
10,KARANGANYAR,177,154.0,0.8700564971751412
30,SUKOHARJO,167,143.0,0.8562874251497006
8,GROBOGAN,280,234.0,0.8357142857142857
22,PATI,406,336.0,0.8275862068965517
12,KENDAL,286,236.0,0.8251748251748252
5,BREBES,297,242.0,0.8148148148148148
23,PEKALONGAN,285,229.0,0.8035087719298246
2,BATANG,248,196.0,0.7903225806451613
0,BANJARNEGARA,278,217.0,0.7805755395683454
34,WONOSOBO,265,203.0,0.7660377358490567
20,KUDUS,132,101.0,0.7651515151515151
13,KLATEN,401,304.0,0.7581047381546134
3,BLORA,295,216.0,0.7322033898305085
28,SEMARANG,235,161.0,0.6851063829787234
4,BOYOLALI,300,192.0,0.64
11,KEBUMEN,460,277.0,0.6021739130434782
21,MAGELANG,372,220.0,0.5913978494623656
27,REMBANG,294,151.0,0.5136054421768708
33,WONOGIRI,294,144.0,0.4897959183673469
32,TEMANGGUNG,289,106.0,0.36678200692041524
